,id,name,all_time_quantity_sold,price,store_id,discount,discount_rate,images,inventory_status,list_price,original_price,rating_average,review_count
102,3014291,Máy Tính Khoa Học Casio FX-580VN X,37334,678000,40395,106000,14,https://salt.tikicdn.com/ts/product/2a/19/6d/a0ba47ab36e21d6336f02db925703394.png,1,784000,784000,4.8,5546
103,19792256,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),29790,34400,40395,14600,30,https://salt.tikicdn.com/ts/product/25/cc/f6/7bd7740f40022347bab2e854699ef761.jpg,1,49000,49000,5.0,2741
104,106318762,Sách ID Tiếng Anh cho người mới bắt đầu - người mới mất gốc Cô Trang Anh,4200,159000,162100,91000,36,https://salt.tikicdn.com/ts/product/e1/d5/08/950861238cc1b543b190cf72e5c75f71.png,1,250000,250000,4.6,777
105,109505434,Bạn Không Thông Minh Lắm Đâu (Tái Bản)(Tặng kèm Bookmark),4116,90300,40395,48700,35,https://salt.tikicdn.com/ts/product/81/fc/2e/7f82b135edf1a41e34ee30fe9d225562.jpg,1,139000,139000,4.8,643
106,90622579,Tâm Lý Học - Nghệ Thuật Giải Mã Hành Vi,9170,103000,40395,47000,31,https://salt.tikicdn.com/ts/product/31/24/03/1a95ad38b07bb5845440c3c20e98862c.jpg,1,150000,150000,4.8,1726
107,104769768,Máy Tính CASIO FX580VN X,4276,678000,40395,106000,14,https://salt.tikicdn.com/ts/product/f8/7a/1a/f0888165d0492adda506b6ca0b09bf91.jpg,1,784000,784000,5.0,784
108,106185389,Tổng ôn ngữ pháp Tiếng Anh cô Trang Anh- Sách luyện thi THPT Quốc gia môn tiếng anh,7974,189000,162100,61000,24,https://salt.tikicdn.com/ts/product/7d/d7/8a/ecd94b86aace6900b6a7429b09c53dcb.jpg,1,250000,250000,4.8,2526
109,20917699,Làm Sao Học Ít Hiểu Nhiều,3501,80900,40395,47100,37,https://salt.tikicdn.com/ts/product/5b/7d/b7/cc733ca2ae3661e0024a8f812220f802.jpg,1,128000,128000,4.8,538
110,193614514,[Gift] Tặng 01 bookmark cho mỗi đơn hàng,1695,21000,272531,9000,30,https://salt.tikicdn.com/ts/product/92/1f/e1/a8d4c4e8446c2d1bda08bdb18882f581.jpg,1,30000,30000,0.0,0
111,112110014,TÂM LÝ HỌC ỨNG DỤNG,5069,85500,40395,43500,34,https://salt.tikicdn.com/ts/product/d2/4a/80/692f3c566e04962db2aa12e412ad4c40.jpg,1,129000,129000,4.8,673
